# Catálogo de aeródromos españoles con servicio METAR/TAF
# Fuente primaria: AIP España (ENAIRE, ciclo AIRAC vigente — sección AD 0.6)
# Coordenadas y elevaciones verificadas contra OPMET WMO (vía aviationweather.gov / NOAA)
# Actualizar cuando ENAIRE publique nuevo AIRAC (cada 28 días; cambios reales raros)
# Columnas: icao, nombre, latitud, longitud, elevacion_ft
icao,nombre,latitud,longitud,elevacion_ft
GCFV,Fuerteventura Arpt,28.4450,-13.8630,36
GCGM,Alajero/La Gomera Arpt,28.0320,-17.2110,712
GCHI,Valverde/Hierro Arpt,27.8190,-17.8890,69
GCLA,La Palma Arpt,28.6330,-17.7550,66
GCLP,Grand Canaria Arpt,27.9230,-15.3890,52
GCRR,Arrecife/Lanzarote Arpt,28.9520,-13.6000,30
GCTS,Tenerife/South Arpt,28.0470,-16.5610,194
GCXO,Tenerife/North Arpt,28.4830,-16.3420,2044
LEAB,Albacete Arpt,38.9520,-1.8630,2310
LEAL,Alicante Arpt,38.2820,-0.5580,85
LEAM,Almería Arpt,36.8460,-2.3570,52
LEAS,Aviles/Asturias Arpt,43.5670,-6.0440,394
LEBA,Córdoba Arpt,37.8420,-4.8490,289
LEBB,Bilbao Arpt,43.2980,-2.9060,125
LEBG,Burgos Arpt,42.3560,-3.6220,2927
LEBL,Barcelona/Prat Arpt,41.2930,2.0700,7
LEBZ,Badajoz Arpt,38.8830,-6.8140,600
LECH,Castellón Arpt,40.2110,0.0670,1181
LECO,A Coruña Arpt,43.3070,-8.3720,262
LEDA,Lleida-Alguaire Arpt,41.7340,0.5380,1155
LEGE,Gerona/Costa Brava Arpt,41.9110,2.7630,459
LEGR,Granada/Lorca Arpt,37.1900,-3.7890,1837
LEGT,Madrid/Getafe AB,40.2990,-3.7230,2031
LEHC,Huesca/Pirineos Arpt,42.0820,-0.3240,1772
LEIB,Ibiza Arpt,38.8760,1.3840,13
LEJR,Jerez Arpt,36.7510,-6.0560,82
LELC,San Javier Arpt,37.7750,-0.8120,10
LELL,Sabadell Arpt,41.5210,2.1050,446
LELN,León Arpt,42.5880,-5.6510,2989
LELO,Logroño/Agoncillo Arpt,42.4520,-2.3310,1155
LEMD,Madrid/Barajas Arpt,40.4660,-3.5550,1932
LEMG,Málaga Arpt,36.6660,-4.4820,16
LEMH,Mahon/Menorca Arpt,39.8550,4.2160,269
LEMI,Murcia/Corvera Intl,37.8030,-1.1250,633
LEMO,Morón AB,37.1750,-5.6160,269
LEPA,Palma de Mallorca Arpt,39.5610,2.7370,26
LEPP,Pamplona Arpt,42.7770,-1.6500,1470
LERI,Alcantarilla AB,37.9580,-1.2290,243
LERS,Reus Arpt,41.1500,1.1790,223
LERT,Rota NB,36.6450,-6.3490,89
LESA,Salamanca Arpt,40.9600,-5.4980,2585
LESB,Son Bonet Arpt,39.5990,2.7030,157
LESO,San Sebastián Arpt,43.3610,-1.7870,10
LEST,Santiago de Compostela Arpt,42.8880,-8.4110,1191
LETL,Teruel Arpt,40.4040,-1.2180,3360
LETO,Torrejón AB,40.4890,-3.4510,1962
LEVC,Valencia Arpt,39.4890,-0.4820,190
LEVD,Valladolid Arpt,41.7060,-4.8520,2769
LEVT,Vitoria Arpt,42.8720,-2.7330,1644
LEVX,Vigo/Peinador Arpt,42.2390,-8.6240,830
LEXJ,Santander/Ballesteros Arpt,43.4290,-3.8310,3
LEZG,Zaragoza Arpt,41.6610,-1.0040,804
LEZL,Seville/San Pablo Arpt,37.4180,-5.8930,85
